Id,WnvPresent
1,0.016133369408369406
2,0.008409523809523808
3,0.01921948051948052
4,0.008409523809523808
5,0.008409523809523808
6,0.008409523809523808
7,0.008409523809523808
8,0.01921948051948052
9,0.006333333333333333
10,0.005
11,0.008666666666666666
12,0.005
13,0.005
14,0.005
15,0.005
16,0.007666666666666666
17,0.016166666666666666
18,0.012166666666666668
19,0.016666666666666663
20,0.012166666666666668
21,0.012166666666666668
22,0.012166666666666668
23,0.012166666666666668
24,0.016666666666666663
25,0.0085
26,0.007285714285714286
27,0.009333333333333332
28,0.007285714285714286
29,0.007285714285714286
30,0.007285714285714286
31,0.007285714285714286
32,0.008333333333333331
33,0.005
34,0.004
35,0.004
36,0.004
37,0.004
38,0.004
39,0.004
40,0.004
41,0.004
42,0.004
43,0.004333333333333333
44,0.004
45,0.004
46,0.004
47,0.004
48,0.004333333333333333
49,0.005
50,0.004
51,0.005
52,0.004
53,0.004
54,0.004
55,0.004
56,0.005
57,0.008
58,0.004
59,0.0045
60,0.004
61,0.004
62,0.004
63,0.004
64,0.0035
65,0.007333333333333333
66,0.004
67,0.0055
68,0.004
69,0.004
70,0.004
71,0.004
72,0.0045
73,0.012392857142857143
74,0.011642857142857142
75,0.006325471698113208
76,0.0115
77,0.0115
78,0.0115
79,0.0115
80,0.006325471698113208
81,0.0055
82,0.003
83,0.002
84,0.003
85,0.003
86,0.003
87,0.003
88,0.002
89,0.0225
90,0.015
91,0.02
92,0.015
93,0.015
94,0.015
95,0.015
96,0.02
97,0.01
98,0.006
99,0.006166666666666666
100,0.006
101,0.006
102,0.006
103,0.006
104,0.006166666666666666
105,0.0035
106,0.002
107,0.004
108,0.002
109,0.002
110,0.002
111,0.002
112,0.004
113,0.00930952380952381
114,0.0055
115,0.010809523809523809
116,0.0055
117,0.0055
118,0.0055
119,0.0055
120,0.010809523809523809
121,0.0085
122,0.004
123,0.011
124,0.004
125,0.004
126,0.004
127,0.004
128,0.011
129,0.003
130,0.004
131,0.007
132,0.004
133,0.004
134,0.004
135,0.004
136,0.007
137,0.005
138,0.001
139,0.006
140,0.001
141,0.001
142,0.001
143,0.001
144,0.006
145,0.01525
146,0.0105
147,0.012199999999999999
148,0.0105
149,0.0105
150,0.0105
151,0.0105
152,0.012199999999999999
153,0.015
154,0.011
155,0.017
156,0.011
157,0.011
158,0.011
159,0.011
160,0.017
161,0.011
162,0.0075
163,0.0115
164,0.0075
165,0.0075
166,0.0075
167,0.0075
168,0.0115
169,0.011
170,0.008
171,0.013
172,0.008
173,0.008
174,0.008
175,0.008
176,0.012
177,0.012
178,0.008
179,0.011
180,0.008
181,0.007
182,0.007
183,0.007
184,0.011
185,0.007
186,0.007
187,0.012
188,0.007
189,0.007
190,0.007
191,0.007
192,0.012
193,0.02666666666666667
194,0.006
195,0.011166666666666667
196,0.006
197,0.003
198,0.003
199,0.003
200,0.011166666666666667
201,0.00925
202,0.00725
203,0.00675
204,0.00725
205,0.00725
206,0.00725
207,0.00725
208,0.00675
209,0.003916666666666666
210,0.005
211,0.0036666666666666666
212,0.005
213,0.005
214,0.005
215,0.005
216,0.0036666666666666666
217,0.0135
218,0.006
219,0.012
220,0.006
221,0.006
222,0.006
223,0.006
224,0.012
225,0.004633333333333333
226,0.003
227,0.002054054054054054
228,0.003
229,0.003
230,0.003
231,0.003
232,0.002054054054054054
233,0.003928571428571428
234,0.003642857142857143
235,0.005963933236574745
236,0.003
237,0.003
238,0.003
239,0.003
240,0.005963933236574745
241,0.007333333333333334
242,0.005
243,0.009
244,0.005
245,0.005
246,0.005
247,0.005
248,0.009
249,0.0145
250,0.011
251,0.016
252,0.011
253,0.011
254,0.011
255,0.011
256,0.015
257,0.001
258,0.001
259,0.001
260,0.001
261,0.001
262,0.001
263,0.001
264,0.001
265,0.006833333333333333
266,0.007
267,0.0075
268,0.007
269,0.007
270,0.007
271,0.007
272,0.0065
273,0.009
274,0.009
275,0.016
276,0.009
277,0.008
278,0.008
279,0.008
280,0.015
281,0.006
282,0.0045
283,0.009
284,0.0045
285,0.0045
286,0.0045
287,0.0045
288,0.008
289,0.0075
290,0.0045
291,0.008
292,0.0045
293,0.0045
294,0.0045
295,0.0045
296,0.008
297,0.010333333333333332
298,0.003
299,0.012
300,0.003
301,0.003
302,0.003
303,0.003
304,0.011
305,0.002
306,0.002
307,0.002
308,0.002
309,0.002
310,0.002
311,0.002
312,0.001
313,0.0045
314,0.005
315,0.008
316,0.005
317,0.005
318,0.005
319,0.005
320,0.008
321,0.003642857142857143
322,0.005709523809523809
323,0.0020754716981132076
324,0.005566666666666667
325,0.005566666666666667
326,0.005566666666666667
327,0.005566666666666667
328,0.0020754716981132076
329,0.008166666666666666
330,0.002
331,0.007
332,0.002
333,0.002
334,0.002
335,0.002
336,0.007
337,0.013
338,0.013
339,0.02
340,0.013
341,0.012
342,0.012
343,0.012
344,0.019
345,0.006333333333333333
346,0.0065
347,0.0065
348,0.0065
349,0.0065
350,0.0065
351,0.0065
352,0.0055
353,0.01967662337662338
354,0.010742857142857143
355,0.015143290043290044
356,0.010742857142857143
357,0.010742857142857143
358,0.010742857142857143
359,0.010742857142857143
360,0.015143290043290044
361,0.026365079365079362
362,0.012142857142857143
363,0.014142857142857143
364,0.012142857142857143
365,0.011142857142857142
366,0.011142857142857142
367,0.011142857142857142
368,0.014142857142857143
369,0.014166666666666666
370,0.0075
371,0.012666666666666666
372,0.0075
373,0.0075
374,0.0075
375,0.0075
376,0.011666666666666665
377,0.010666666666666668
378,0.009
379,0.012
380,0.009
381,0.009
382,0.009
383,0.009
384,0.012
385,0.005666666666666666
386,0.006
387,0.005666666666666666
388,0.006
389,0.006
390,0.006
391,0.006
392,0.005666666666666666
393,0.008
394,0.008
395,0.0
396,0.008
397,0.007
398,0.007
399,0.007
400,0.0
401,0.019
402,0.013
403,0.017
404,0.013
405,0.013
406,0.013
407,0.013
408,0.017
409,0.006
410,0.006
411,0.004
412,0.006
413,0.006
414,0.006
415,0.006
416,0.003
417,0.005
418,0.007
419,0.001
420,0.007
421,0.007
422,0.007
423,0.007
424,0.001
425,0.008
426,0.008
427,0.003
428,0.008
429,0.008
430,0.008
431,0.008
432,0.003
433,0.006
434,0.003
435,0.002
436,0.003
437,0.003
438,0.003
439,0.003
440,0.002
441,0.01275
442,0.012
443,0.011
444,0.012
445,0.012
446,0.012
447,0.012
448,0.011
449,0.008
450,0.008
451,0.007
452,0.008
453,0.008
454,0.008
455,0.008
456,0.007
457,0.0095
458,0.004
459,0.008
460,0.004
461,0.004
462,0.004
463,0.004
464,0.008
465,0.0052
466,0.0055
467,0.008
468,0.0055
469,0.0055
470,0.0055
471,0.0055
472,0.007
473,0.0215
474,0.009
475,0.018
476,0.009
477,0.009
478,0.009
479,0.009
480,0.018
481,0.013366666666666667
482,0.012366666666666666
483,0.012366666666666666
484,0.012366666666666666
485,0.012366666666666666
486,0.012366666666666666
487,0.012366666666666666
488,0.012366666666666666
489,0.0095
490,0.0075
491,0.008
492,0.0075
493,0.0065
494,0.0065
495,0.0065
496,0.008
497,0.011
498,0.005
499,0.0075
500,0.005
501,0.005
502,0.005
503,0.005
504,0.0065
505,0.012416666666666668
506,0.008
507,0.00725
508,0.008
509,0.008
510,0.008
511,0.008
512,0.00725
513,0.0085
514,0.0065
515,0.011
516,0.0065
517,0.0065
518,0.0065
519,0.0065
520,0.011
521,0.0033333333333333335
522,0.006
523,0.0061428571428571435
524,0.006
525,0.006
526,0.006
527,0.006
528,0.0061428571428571435
529,0.017033333333333334
530,0.010366666666666666
531,0.010366666666666666
532,0.010366666666666666
533,0.009366666666666667
534,0.009366666666666667
535,0.009366666666666667
536,0.010366666666666666
537,0.0055
538,0.005
539,0.007
540,0.005
541,0.005
542,0.005
543,0.005
544,0.007
545,0.009
546,0.006
547,0.006
548,0.006
549,0.006
550,0.006
551,0.006
552,0.006
553,0.0275
554,0.027
555,0.009
556,0.027
557,0.027
558,0.027
559,0.027
560,0.009
561,0.018066666666666665
562,0.008333333333333331
563,0.012
564,0.008333333333333331
565,0.007333333333333333
566,0.007333333333333333
567,0.007333333333333333
568,0.012
569,0.006
570,0.002
571,0.001
572,0.002
573,0.002
574,0.002
575,0.002
576,0.001
577,0.004
578,0.005
579,0.002
580,0.005
581,0.005
582,0.005
583,0.005
584,0.002
585,0.01225
586,0.01025
587,0.01025
588,0.01025
589,0.01025
590,0.01025
591,0.01025
592,0.00925
593,0.00725
594,0.00525
595,0.004583333333333333
596,0.00525
597,0.00525
598,0.00525
599,0.00525
600,0.004583333333333333
601,0.0105
602,0.006
603,0.003
604,0.006
605,0.006
606,0.006
607,0.006
608,0.003
609,0.005
610,0.007
611,0.001
612,0.007
613,0.007
614,0.007
615,0.007
616,0.001
617,0.0105
618,0.006
619,0.01
620,0.006
621,0.005
622,0.005
623,0.005
624,0.01
625,0.012416666666666666
626,0.008
627,0.00575
628,0.008
629,0.008
630,0.008
631,0.008
632,0.00575
633,0.008666666666666668
634,0.004166666666666667
635,0.004166666666666667
636,0.004166666666666667
637,0.003166666666666667
638,0.003166666666666667
639,0.003166666666666667
640,0.003166666666666667
641,0.003
642,0.004
643,0.0
644,0.004
645,0.004
646,0.004
647,0.004
648,0.0
649,0.015
650,0.009
651,0.013
652,0.009
653,0.008
654,0.008
655,0.008
656,0.013
657,0.011083333333333332
658,0.008
659,0.009916666666666667
660,0.008
661,0.006
662,0.006
663,0.006
664,0.009916666666666667
665,0.002333333333333333
666,0.009
667,0.001
668,0.009
669,0.009
670,0.009
671,0.009
672,0.001
673,0.001
674,0.0
675,0.002
676,0.0
677,0.0
678,0.0
679,0.0
680,0.002
681,0.005583333333333334
682,0.002
683,0.00375
684,0.002
685,0.002
686,0.002
687,0.002
688,0.00375
689,0.005166666666666666
690,0.002
691,0.0055
692,0.002
693,0.002
694,0.002
695,0.002
696,0.0055
697,0.0026666666666666666
698,0.002
699,0.0036666666666666666
700,0.002
701,0.002
702,0.002
703,0.002
704,0.0036666666666666666
705,0.002333333333333333
706,0.0
707,0.0016666666666666666
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0016666666666666666
713,0.007
714,0.001
715,0.005
716,0.001
717,0.001
718,0.001
719,0.001
720,0.005
721,0.006
722,0.001
723,0.003
724,0.001
725,0.001
726,0.001
727,0.001
728,0.003
729,0.0055
730,0.002
731,0.008
732,0.002
733,0.002
734,0.002
735,0.002
736,0.008
737,0.002
738,0.0
739,0.003
740,0.0
741,0.0
742,0.0
743,0.0
744,0.003
745,0.004366666666666667
746,0.004166666666666667
747,0.005116666666666667
748,0.004166666666666667
749,0.004166666666666667
750,0.004166666666666667
751,0.004166666666666667
752,0.005116666666666667
753,0.01
754,0.004
755,0.01
756,0.004
757,0.004
758,0.004
759,0.004
760,0.01
761,0.003
762,0.003
763,0.0
764,0.003
765,0.003
766,0.003
767,0.003
768,0.0
769,0.010147023809523809
770,0.00393452380952381
771,0.004337920659020569
772,0.0037916666666666667
773,0.0036666666666666666
774,0.0036666666666666666
775,0.0036666666666666666
776,0.004337920659020569
777,0.0033857142857142857
778,0.002
779,0.002142857142857143
780,0.002
781,0.002
782,0.002
783,0.002
784,0.002142857142857143
785,0.004892857142857143
786,0.0041428571428571434
787,0.0030754716981132076
788,0.004
789,0.004
790,0.004
791,0.004
792,0.0030754716981132076
793,0.003333333333333333
794,0.002
795,0.0013333333333333333
796,0.002
797,0.002
798,0.002
799,0.002
800,0.0013333333333333333
801,0.003
802,0.001
803,0.0
804,0.001
805,0.001
806,0.001
807,0.001
808,0.0
809,0.0006428571428571428
810,0.00014285714285714284
811,7.547169811320754e-05
812,0.0
813,0.0
814,0.0
815,0.0
816,7.547169811320754e-05
817,0.06995952380952382
818,0.027526190476190475
819,0.025242138364779874
820,0.027383333333333332
821,0.027383333333333332
822,0.027383333333333332
823,0.027383333333333332
824,0.025242138364779874
825,0.00575
826,0.003
827,0.004
828,0.003
829,0.003
830,0.003
831,0.003
832,0.004
833,0.0038333333333333336
834,0.002
835,0.001
836,0.002
837,0.002
838,0.002
839,0.002
840,0.001
841,0.011
842,0.008
843,0.006
844,0.008
845,0.008
846,0.008
847,0.008
848,0.006
849,0.0026666666666666666
850,0.001
851,0.0026666666666666666
852,0.001
853,0.001
854,0.001
855,0.001
856,0.0026666666666666666
857,0.011976190476190475
858,0.007642857142857143
859,0.010422756765986512
860,0.007
861,0.007
862,0.007
863,0.007
864,0.010422756765986512
865,0.0026666666666666666
866,0.001
867,0.002
868,0.001
869,0.001
870,0.001
871,0.001
872,0.002
873,0.054633333333333325
874,0.02408333333333333
875,0.02666666666666667
876,0.02308333333333333
877,0.02308333333333333
878,0.02308333333333333
879,0.02308333333333333
880,0.02666666666666667
881,0.005883333333333332
882,0.003
883,0.001054054054054054
884,0.003
885,0.003
886,0.003
887,0.003
888,0.001054054054054054
889,0.012591017316017316
890,0.007363636363636363
891,0.00225
892,0.006363636363636363
893,0.006
894,0.006
895,0.006
896,0.00225
897,0.009
898,0.006
899,0.016
900,0.006
901,0.006
902,0.006
903,0.006
904,0.015
905,0.007166666666666666
906,0.002166666666666667
907,0.005166666666666667
908,0.002166666666666667
909,0.002166666666666667
910,0.002166666666666667
911,0.002166666666666667
912,0.005166666666666667
913,0.0055
914,0.005
915,0.005
916,0.005
917,0.005
918,0.005
919,0.005
920,0.005
921,0.0064761904761904765
922,0.007642857142857143
923,0.003963933236574746
924,0.004
925,0.004
926,0.004
927,0.004
